%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1777733660722312927,0.0469211906195,0.0,0.0,0.0,0.0,1.4
1777733660726108074,0.0398951530457,0.0,0.0,0.0,0.0,1.4
1777733660733944892,0.0363821327686,0.0,0.0,0.0,0.0,1.4
1777733660750555992,0.0328691124916,0.0,0.0,0.0,0.0,1.4
1777733660782500028,0.0258430749178,0.0,0.0,0.0,0.0,1.4
1777733660832453012,0.0258430749178,0.0,0.0,0.0,0.0,1.4
1777733660854214906,0.0223300546408,0.0,0.0,0.0,0.0,1.4
1777733660882250070,0.0153040155768,0.0,0.0,0.0,0.0,1.4
1777733660932643890,0.0153040155768,0.0,0.0,0.0,0.0,1.4
1777733660982781887,0.0153040155768,0.0,0.0,0.0,0.0,1.4
1777733661032778978,0.0153040155768,0.0,0.0,0.0,0.0,1.4
1777733661082978963,0.0153040155768,0.0,0.0,0.0,0.0,1.4
1777733661133044958,0.0153040155768,0.0,0.0,0.0,0.0,1.4
1777733661183163881,0.0153040155768,0.0,0.0,0.0,0.0,1.4
1777733661222590923,0.00476495660841,0.0,0.0,0.0,0.0,1.4
1777733661272675991,0.00476495660841,0.0,0.0,0.0,0.0,1.4
1777733661322686910,0.00476495660841,0.0,0.0,0.0,0.0,1.4
1777733661372730970,0.00476495660841,0.0,0.0,0.0,0.0,1.4
1777733661422938108,0.00476495660841,0.0,0.0,0.0,0.0,1.4
1777733661473083019,0.00476495660841,0.0,0.0,0.0,0.0,1.4
1777733661523194074,0.00476495660841,0.0,0.0,0.0,0.0,1.4
1777733661573307991,0.00476495660841,0.0,0.0,0.0,0.0,1.4
1777733661623558998,0.00476495660841,0.0,0.0,0.0,0.0,1.4
1777733661634113073,0.0223300546408,0.0,0.0,0.0,0.0,1.4
1777733661638123035,0.0328691124916,0.0,0.0,0.0,0.0,1.4
1777733661642132043,0.0398951530457,0.0,0.0,0.0,0.0,1.4
1777733661645976066,0.0504342079163,0.0,0.0,0.0,0.0,1.4
1777733661653970956,0.0679993093014,0.0,0.0,0.0,0.0,1.4
1777733661657798051,0.0925904452801,0.0,0.0,0.0,0.0,1.4
1777733661662290096,0.110169100761,0.0,0.0,0.0,0.0,1.4
1777733661665857076,0.127734208107,0.0,0.0,0.0,0.0,1.4
1777733661669871091,0.148812317848,0.0,0.0,0.0,0.0,1.4
1777733661678318977,0.176916480064,0.0,0.0,0.0,0.0,1.3323980689
1777733661706561088,0.222585725784,0.0,0.0,0.0,0.0,1.25862468481
1777733661718264102,0.335015916824,0.0,0.0,0.0,0.0,0.92664437294
1777733661722100973,0.35258102417,0.0,0.0,0.0,0.0,0.803641223907
1777733661726157903,0.356094026566,0.0,0.0,0.0,0.0,0.76675453186
1777733661738301038,0.366633105278,0.0,0.0,0.0,0.0,0.729867756367
1777733661742171049,0.380685162544,0.0,0.0,0.0,0.0,0.594616538286
1777733661746026992,0.387711215019,0.0,0.0,0.0,0.0,0.545434254408
1777733661750215053,0.387711215019,0.0,0.0,0.0,0.0,0.508547562361
1777733661754159927,0.391224241257,0.0,0.0,0.0,0.0,0.471660870314
1777733661757910013,0.391224241257,0.0,0.0,0.0,0.0,0.447069728374
1777733661766252994,0.39825026989,0.0,0.0,0.0,0.0,0.434774136543
1777733661770139932,0.39825026989,0.0,0.0,0.0,0.0,0.410182994604
1777733661778264045,0.39825026989,0.0,0.0,0.0,0.0,0.397887444496
1777733661782197952,0.4,0.0,0.0,0.0,0.0,0.373296302557
1777733661832139015,0.4,0.0,0.0,0.0,0.0,0.373296302557
1777733661882688999,0.4,0.0,0.0,0.0,0.0,0.373296302557
1777733661932786941,0.4,0.0,0.0,0.0,0.0,0.373296302557
1777733661982767105,0.4,0.0,0.0,0.0,0.0,0.373296302557
1777733662033068895,0.4,0.0,0.0,0.0,0.0,0.373296302557
1777733662083230972,0.4,0.0,0.0,0.0,0.0,0.373296302557
1777733662133177042,0.4,0.0,0.0,0.0,0.0,0.373296302557
1777733662183485031,0.4,0.0,0.0,0.0,0.0,0.373296302557
1777733662233472108,0.4,0.0,0.0,0.0,0.0,0.373296302557
1777733662283705949,0.4,0.0,0.0,0.0,0.0,0.373296302557
1777733662333786010,0.4,0.0,0.0,0.0,0.0,0.373296302557
1777733662354557991,0.4,0.0,0.0,0.0,0.0,0.348657700419
1777733662366437911,0.4,0.0,0.0,0.0,0.0,0.33636212945
1777733662374464035,0.4,0.0,0.0,0.0,0.0,0.311770987511
1777733662386343002,0.4,0.0,0.0,0.0,0.0,0.299475416541
1777733662398566007,0.4,0.0,0.0,0.0,0.0,0.274884274602
1777733662406348943,0.4,0.0,0.0,0.0,0.0,0.250293153524
1777733662410320997,0.4,0.0,0.0,0.0,0.0,0.237997582555
1777733662418288946,0.4,0.0,0.0,0.0,0.0,0.213406440616
1777733662422138929,0.4,0.0,0.0,0.0,0.0,0.201110869646
1777733662430275917,0.4,0.0,0.0,0.0,0.0,0.151928596199
1777733662442460060,0.4,0.0,0.0,0.0,0.0,0.13963303566
1777733662446217060,0.4,0.0,0.0,0.0,0.0,0.0781551912427
1777733662449923992,0.4,0.0,0.0,0.0,0.0,0.0658596202731
1777733662453969955,0.4,0.0,0.0,0.0,0.0,0.0166773481295
1777733662457879066,0.4,0.0,0.0,0.0,0.0,0.00438177976757
1777733662461815118,0.4,0.0,0.0,0.0,0.0,-0.0
1777733662470297098,0.4,0.0,0.0,0.0,0.0,-0.0
